int64_field_0,player_name,teamId,gamesPlayed,points,goals,twoPointGoals,assists,powerPlayGoals,shortHandedGoals,pim,shots,twoPointShots,shotsOnGoal,twoPointShotsOnGoal,SOFF,groundBalls,faceoffs,faceoffsWon,faceoffsLost,turnovers,causedTurnovers,goalsAgainst,GAA,twoPointGoalsAgainst,twoPtGaa,saves,numPenalties,savePct,goalieWins,goalieLosses,goalieTies,gamesStarted,tof,statLeague,seasonSegment
189,Jon Garino,BAY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
47,Christian Mazzone,BLZ,1,1,0,0,1,0,0,0,4,0,1,0,3,7,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
139,Mark Matthews,BLZ,1,4,3,0,1,0,0,0,4,0,4,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
137,Mark Cockerton,CAN,1,2,1,0,1,0,0,0,4,0,2,0,2,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
219,Will Sands,CAN,1,2,2,0,0,0,0,0,4,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
135,Jarrod Neumann,CHA,7,0,0,0,0,0,0,1,4,4,2,2,2,16,0,0,0,6,7,0,0,0,0,0,1,0,0,0,0,7,0,PLL,regular
93,Jarrod Neumann,CHA,2,0,0,0,0,0,0,1,2,2,1,1,1,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,PLL,post
159,Jordan MacIntosh,CHR,5,9,8,0,1,1,0,0,22,6,13,3,9,7,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,5,0,PLL,regular
190,Jordan MacIntosh,CHR,9,22,20,0,2,1,0,2,46,1,33,1,13,26,3,0,3,13,3,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
160,Jordan Wolf,CHR,5,18,10,0,8,1,0,0,32,0,20,0,12,11,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,5,0,PLL,regular
113,Jordan Wolf,CHR,2,7,7,0,0,2,0,0,13,0,10,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,PLL,post
175,John Crawley,ATL,7,8,5,0,3,0,0,0,17,1,10,0,7,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
157,Jarrod Neumann,CHA,10,10,5,5,0,0,0,2,14,14,7,7,7,15,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
120,Jack Carrigan,NYL,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
195,Jules Heningburg,RED,10,33,21,0,12,1,1,1,54,0,32,0,22,8,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
176,Kieran McArdle,WAT,5,14,8,0,6,0,0,2,26,1,18,0,8,6,0,0,0,15,2,0,0,0,0,0,2,0,0,0,0,5,0,PLL,regular
177,Kyle Bernlohr,WHP,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,1,49,8.108480809,2,0.3309584004,83,0,0.6287878788,0,0,0,5,17404,PLL,regular
124,Kyle Bernlohr,WHP,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1,17,9.714285714,1,0.5714285714,24,0,0.5853658537,0,0,0,2,5040,PLL,post
175,Kevin Unterstein,ATL,5,1,0,0,1,0,0,1,1,0,0,0,1,7,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,PLL,regular
209,Kevin Unterstein,ATL,10,5,3,0,2,0,0,4,8,0,3,0,5,23,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
123,Kieran McArdle,ATL,1,2,1,0,1,0,0,0,5,0,3,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,PLL,post
158,Jon Paige,BAY,5,0,0,0,0,0,0,0,0,0,0,0,0,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
32,Cal Dearth,CAN,1,4,4,0,0,0,0,0,6,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
35,Challen Rogers,CAN,1,4,0,0,4,0,0,0,6,0,3,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
163,Jeremy Thompson,CHA,4,0,0,0,0,0,0,0,5,2,4,2,1,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
134,Jack Carrigan,NYL,16,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
11,Ben McIntosh,ARC,2,3,1,0,2,1,0,0,7,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,PLL,post
119,Kenny Massa,BAY,2,0,0,0,0,0,0,0,0,0,0,0,0,12,53,27,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
200,Kenny Massa,BAY,13,4,3,0,1,0,0,0,7,0,5,0,2,80,336,185,151,7,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
28,Bryan Cole,BLZ,1,2,2,0,0,0,0,0,7,0,5,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
173,Randy Staats,BLZ,1,4,2,0,2,0,0,0,7,0,4,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,post
191,Jordan Wolf,CHR,10,32,16,0,16,0,0,0,65,1,38,0,27,12,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
213,Kyle Bernlohr,WHP,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,10.63354037,6,0.5962732919,131,0,0.5504201681,6,4,0,0,28980,PLL,regular
204,Kevin Massa,BAY,1,0,0,0,0,0,0,0,0,0,0,0,0,3,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
111,Johnny Surdick,CHA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,post
187,Johnny Surdick,CHA,6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
136,Jack Curran,RAT,12,35,28,0,7,0,0,1,76,0,46,0,30,23,0,0,0,12,3,0,0,0,0,0,1,0,0,0,0,0,0,MLL,regular
178,Kyle Harrison,RED,6,4,2,1,1,0,0,0,9,2,2,1,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,PLL,regular
45,Christian Cuccinello,ARC,3,5,4,0,1,0,0,0,9,0,8,0,1,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,PLL,post
56,Dan Eipp,ARC,3,6,3,0,3,0,0,0,9,0,6,0,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,PLL,post
210,Kieran McArdle,ATL,10,25,12,0,13,3,0,3,43,1,31,1,12,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
179,Kyle Hartzell,ATL,5,0,0,0,0,0,0,1,4,1,2,0,2,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5,0,PLL,regular
205,Kevin McNally,BAY,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
126,Kyle Harrison,RED,3,2,1,0,1,0,0,0,5,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,PLL,post
216,Kyle Harrison,RED,10,3,3,0,0,1,0,0,31,3,20,3,11,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,PLL,regular
223,Kyle Tucker,BAY,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,MLL,regular
